"category","text"
"steam","Your Steam account has been suspended. Verify here: hxxp://steam-check.com/login"
"steam","You’ve received a free CS:GO skin! Claim it now: hxxp://steam-giftz.ru"
"steam","Security alert: Someone tried logging into your Steam account from Russia. Reset: hxxp://steamsupport-sec.com"
"steam","Final warning! Your account will be permanently disabled in 24h. Confirm here: hxxp://valve-safe.net"
"steam","You’ve been nominated for a free $50 Steam gift card! Redeem: hxxp://getsteamgift.co"
"steam","Please re-enter your password to verify account ownership: hxxp://secure-steamlogin.com"
"steam","Trade request pending, accept now before it expires: hxxp://skins-fast.trade"
"steam","Update required for Steam Guard. Download here: hxxp://steam-guard-protect.com"
"steam","Free weekend giveaway! Unlock games instantly: hxxp://steamfreeevent.site"
"steam","Unusual activity detected. To restore access, confirm here: hxxp://steamverify.co"
"steam","Your Steam account may be locked soon. Validate now: hxxp://steam-checksafe.ru"
"steam","Get free Dota 2 skins instantly: hxxp://dota2skins-now.net"
"steam","Steam Wallet error detected. Fix here: hxxp://walletfix-steam.co"
"steam","Important: Confirm your billing info today: hxxp://steam-billing.info"
"steam","Exclusive beta access waiting! hxxp://steam-beta-access.com"
"steam","Steam Guard has expired. Renew now: hxxp://steamguard-repair.net"
"steam","Unverified device login detected. Reconfirm here: hxxp://steam-secureauth.ru"
"steam","Claim your free Half-Life pack: hxxp://steamfreegamez.org"
"steam","Urgent! Update payment information: hxxp://steamupdate-payments.net"
"steam","Limited event! Free Steam keys: hxxp://steamevent-gift.com"
"omegle","Omegle is shutting down, move to new service! hxxp://omegle-newchat.app"
"omegle","Verify your Omegle age to continue chatting: hxxp://adultcheck-omegle.net"
"omegle","You’ve been reported for misconduct. Appeal here: hxxp://omegle-securepage.com"
"omegle","Exclusive invite to Omegle Premium! hxxp://omegle-premium.chat"
"omegle","To keep your account, please verify identity: hxxp://omegle-auth.site"
"omegle","Video chat verification needed. Click here: hxxp://livechat-safe.org"
"omegle","Omegle rewards program: Earn free coins! hxxp://omegle-reward.co"
"omegle","Your chat logs will be deleted unless confirmed: hxxp://omegle-restore.info"
"omegle","Claim free webcam filters now: hxxp://omegle-filters.app"
"omegle","Omegle security upgrade required: hxxp://omegle-update.co"
"omegle","Reconnect faster with Omegle Turbo: hxxp://omegle-turbo.net"
"omegle","Exclusive chat room unlocked: hxxp://omegle-room-access.org"
"omegle","Age verification failed. Fix here: hxxp://omegle-ageverify.co"
"omegle","Appeal your ban instantly: hxxp://omegle-banappeal.ru"
"omegle","Access hidden chat features: hxxp://omegle-pro-features.com"
"omegle","Omegle mobile app beta here: hxxp://omegle-mobilebeta.net"
"omegle","Private video invite: hxxp://omegle-privatechat.org"
"omegle","Claim premium video filters: hxxp://omegle-filterz.net"
"omegle","Upgrade to secure Omegle chat: hxxp://omegle-secureupdate.com"
"omegle","Reward unlocked! Collect: hxxp://omegle-rewardbonus.ru"
"instagram","We detected unusual login attempt. Verify here: hxxp://insta-securelogin.net"
"instagram","Your account will be disabled in 24h. Appeal here: hxxp://instagram-appeal.org"
"instagram","You’ve won free followers! Claim now: hxxp://insta-followgift.com"
"instagram","Confirm your email address or lose access: hxxp://insta-verify.ru"
"instagram","Copyright violation reported. Resolve: hxxp://instagram-copyrightfix.net"
"instagram","Two-factor authentication failed. Reset: hxxp://insta-2fareset.org"
"instagram","Get verified badge instantly! hxxp://insta-verifiedpage.co"
"instagram","See who viewed your profile: hxxp://insta-profileview.net"
"instagram","Exclusive offer: 10,000 likes free: hxxp://insta-likesboost.ru"
"instagram","Confirm to avoid suspension: hxxp://insta-suspensionfix.org"
"instagram","Instagram security center: hxxp://insta-securecenter.net"
"instagram","Reset password immediately: hxxp://insta-passwordreset.org"
"instagram","Your account has been cloned. Report: hxxp://insta-clonereport.com"
"instagram","Violation of community guidelines. Fix: hxxp://insta-guidelinesfix.ru"
"instagram","Suspicious activity detected. Validate: hxxp://insta-validatepage.net"
"instagram","Win free Instagram Pro! hxxp://insta-profree.ru"
"instagram","Appeal your disabled account: hxxp://insta-disabledfix.com"
"instagram","Check hidden messages: hxxp://insta-hiddenmsg.net"
"instagram","Exclusive blue tick event: hxxp://insta-bluetickbonus.ru"
"instagram","Confirm mobile number to continue: hxxp://insta-mobileverify.net"
"location","See who tracked your phone! hxxp://location-tracker.org"
"location","Your GPS data has been leaked. Secure: hxxp://gps-fix.net"
"location","Confirm location access now: hxxp://location-verify.co"
"location","Your phone has been located in another country! hxxp://find-myphone.ru"
"location","Family locator update required: hxxp://familytrack-update.org"
"location","Suspicious location login. Check here: hxxp://location-alert.net"
"location","Click to track your parcel location: hxxp://parcel-track-fake.com"
"location","Enable GPS security instantly: hxxp://gps-secureupdate.net"
"location","Location history needs confirmation: hxxp://location-historyfix.ru"
"location","Map error detected. Repair: hxxp://map-fix.net"
"location","Track your friend’s live location: hxxp://friend-tracker.org"
"location","Download free location tool: hxxp://gpsfreedownload.co"
"location","Update Google Maps immediately: hxxp://maps-update-fake.com"
"location","Delivery failed, confirm location: hxxp://delivery-fix.org"
"location","Your coordinates shared publicly. Stop: hxxp://coords-stop.net"
"location","Alert! Location mismatch detected: hxxp://gps-mismatch.ru"
"location","Track order faster here: hxxp://ordertrack-fake.org"
"location","Confirm Apple Find My account: hxxp://apple-findmy-fake.com"
"location","Secure your device’s GPS: hxxp://gpssecure-fix.org"
"location","Fake movement detected. Verify now: hxxp://movement-verify.net"
"steam","Your Steam account has a trade ban pending. Appeal now: hxxp://steam-appeal-trade.com"
"steam","Action Required: Unauthorized market listing. Cancel: hxxp://steam-market-secure.net"
"steam","Your Steam Wallet code is ready! Claim your $20: hxxp://steamwallet-claim.com"
"steam","Steam Summer Sale exclusive coupon: hxxp://steam-sale-coupon.ru"
"steam","Community ban alert! Verify your activity: hxxp://steam-community-appeal.org"
"steam","Your Steam Guard mobile authenticator is out of sync. Sync: hxxp://steam-mobile-sync.com"
"steam","Free game offer from Valve: ""Half-Life 3 Beta"". Install: hxxp://hl3-beta-download.com"
"steam","Payment dispute filed against your account. Resolve: hxxp://steam-payment-dispute.net"
"steam","Your account has been flagged for fraudulent activity. Clear: hxxp://steam-fraud-clearance.com"
"steam","Limited-time offer: Upgrade to Steam Family for free: hxxp://steam-family-upgrade.org"
"omegle","Your Omegle chat partner has filed a complaint. Respond: hxxp://omegle-complaint-response.com"
"omegle","Your IP has been logged for violations. Avoid ban: hxxp://omegle-ip-appeal.net"
"omegle","New message from a past chat partner. Read: hxxp://omegle-message-recovery.org"
"omegle","Omegle moderator wants to speak with you. Join: hxxp://omegle-mod-chat.com"
"omegle","Your video stream was recorded. Request deletion: hxxp://omegle-video-delete.net"
"omegle","Free Omegle VPN to bypass restrictions: hxxp://omegle-free-vpn.com"
"omegle","You've been selected for a user feedback survey. Start: hxxp://omegle-survey-rewards.ru"
"omegle","Account inactivity warning. Reactivate: hxxp://omegle-reactivate-account.com"
"omegle","Unlock the ""Spy Mode"" feature for anonymous chatting: hxxp://omegle-spymode.com"
"omegle","Congratulations! You won a premium webcam in our giveaway: hxxp://omegle-webcam-gift.org"
"instagram","Your post has been removed for nudity. Appeal: hxxp://insta-nudity-appeal.com"
"instagram","Your account is eligible for a creator bonus. Enroll: hxxp://insta-creator-bonus.net"
"instagram","New login from a Samsung Galaxy in Berlin. Confirm: hxxp://insta-confirm-login.ru"
"instagram","Your ad campaign has been paused due to payment issues: hxxp://insta-ads-payment.com"
"instagram","You have 3 new direct message requests from celebrities: hxxp://insta-celebrity-dms.org"
"instagram","Instagram Lite is shutting down. Migrate your data: hxxp://insta-data-migration.net"
"instagram","Your account is now eligible for Reels monetization. Sign up: hxxp://insta-reels-money.com"
"instagram","We're improving our systems. Verify your business account: hxxp://insta-business-verify.org"
"instagram","Your recent comment was reported as spam. Justify: hxxp://insta-comment-appeal.net"
"instagram","Update your birthday to comply with new policies: hxxp://insta-birthday-update.com"
"location","Your phone's location was used to log into a Facebook account. Review: hxxp://location-fb-login.com"
"location","Emergency alert: Your child's device left a safe zone. Check: hxxp://family-locator-emergency.net"
"location","Your Uber driver cannot find you. Update your pin: hxxp://uber-location-update.org"
"location","Google Location Accuracy needs re-calibration. Calibrate now: hxxp://google-location-calibrate.com"
"location","Your iPhone's Find My network detected an unknown AirTag. Scan: hxxp://find-unknown-airtag.com"
"location","Your weather app needs precise location access to update: hxxp://weather-app-location-fix.net"
"location","Suspicious location access by a hidden app. Scan your phone: hxxp://hidden-app-location-scanner.org"
"location","Your recent location history is public. Make private: hxxp://location-history-private.com"
"location","Your device is sharing old location data. Refresh: hxxp://location-data-refresh.net"
"location","Your GPS signal is being spoofed. Run security fix: hxxp://gps-spoof-fix.org"
"steam","You have unclaimed Steam Awards voting points. Claim: hxxp://steam-awards-claim.ru"
"steam","Valve is issuing refunds for a recent purchase. Request: hxxp://steam-refund-request.net"
"omegle","Your chat is being monitored for quality. Verify you are human: hxxp://omegle-human-verify.com"
"omegle","To prevent spam"
"instagram","Your account will be featured on the Explore page. Confirm details: hxxp://insta-explore-feature.com"
"instagram","A user you follow is live. Get notified: hxxp://insta-live-notification-fix.net (You must enable notifications)"
"location","Police alert: A criminal suspect was detected near your location. See details: hxxp://local-police-alert.org"
"location","Your fitness tracker location is off by 500m. Re-sync: hxxp://fitness-location-resync.com"
"location","Your car's GPS has a critical update. Download: hxxp://car-gps-update.net"
"location","Last backup of your location data failed. Retry: hxxp://location-backup-retry.com"
"steam","Your Steam Deck reservation is ready! Complete your order: hxxp://steamdeck-order-now.com"
"steam","Steam Support reply to your ticket: View message: hxxp://steam-support-response.net"
"steam","Family Sharing library access revoked. Re-enable: hxxp://steam-family-fix.ru"
"steam","Your market listing sold for $142.50! Claim funds: hxxp://steam-sold-item-claim.org"
"steam","Seasonal Steam Profile award unlocked. Equip it: hxxp://steam-profile-award.com"
"steam","Community vote required for new Steam feature. Participate: hxxp://steam-community-vote.net"
"steam","Your account has been chosen for a Steam hardware survey. Take survey: hxxp://steam-survey-official.com"
"steam","API key generated for your account. Didn't do it? Revoke: hxxp://steam-api-revoke.org"
"steam","Free Steam Level up gift! Increase your level: hxxp://steam-level-gift.ru"
"steam","Your friend is stuck in a game. Send them a booster pack: hxxp://steam-booster-help.com"
"omegle","Your chat partner has sent you a file. Download safely: hxxp://omegle-file-transfer.net"
"omegle","Your connection was interrupted due to VPN use. Whitelist your IP: hxxp://omegle-vpn-approve.org"
"omegle","You've been randomly selected for a chat moderation role. Apply: hxxp://omegle-mod-application.com"
"omegle","Your feedback got you a premium chat pass! Activate: hxxp://omegle-pass-activate.ru"
"omegle","Server maintenance in your region. Update client: hxxp://omegle-client-update.net"
"omegle","A user has added you to their favorites. See who: hxxp://omegle-favorites-list.com"
"omegle","Text chat is being deprecated. Upgrade to video: hxxp://omegle-video-upgrade.org"
"omegle","Your language pack needs updating for new features: hxxp://omegle-language-update.com"
"omegle","To reduce bots"
"omegle","Your chat is trending! Broadcast to more users: hxxp://omegle-trending-broadcast.net"
"instagram","Your Reel has gone viral! Check stats and claim promotion: hxxp://insta-reel-stats-promo.com"
"instagram","Your account is shadowbanned. Lift restrictions: hxxp://insta-shadowban-removal.org"
"instagram","New tag suggestion: You were tagged in 12 old photos. Review: hxxp://insta-tag-review-page.net"
"instagram","Your linked Facebook account has policy issues. Fix now: hxxp://insta-fb-connection-fix.ru"
"instagram","Instagram Shop: Your product listing was approved. Set up payments: hxxp://insta-shop-payments-setup.com"
"instagram","Your account qualifies for the ""Top Creator"" program. Enroll: hxxp://insta-top-creator-signup.org"
"instagram","A birthday fundraiser was started for you. Manage settings: hxxp://insta-fundraiser-manage.net"
"instagram","Your archive is full. Download or upgrade storage: hxxp://insta-storage-upgrade.com"
"instagram","Copyright claim on your music. Dispute or edit: hxxp://insta-music-claim-fix.org"
"instagram","Two-factor authentication is now mandatory. Set up: hxxp://insta-2fa-mandatory.com"
"location","Your Samsung SmartTag location is offline. Reconnect: hxxp://samsung-smarttag-find.net"
"location","Google Maps Timeline error: Gaps detected. Repair: hxxp://maps-timeline-repair.com"
"location","Your Wi-Fi network is exposing your location. Secure it: hxxp://wifi-location-secure.org"
"location","Your recent delivery driver couldn't verify your location. Confirm: hxxp://delivery-driver-verify-location.ru"
"location","Airbnb host is requesting your location for check-in. Share: hxxp://airbnb-host-location-share.com"
"location","Find your parked car! Your last location was saved: hxxp://parked-car-location-finder.net"
"location","Weather alert for your precise location! View details: hxxp://weather-alert-location-specific.org"
"location","Tinder Platinum feature: See who's near you right now. Enable: hxxp://tinder-nearby-location-enable.com"
"location","Your child's device battery is low at [Location]. View: hxxp://family-locator-low-battery-alert.com"
"location","Suspicious login to your Google Account from your same location. Confirm: hxxp://google-same-location-login.net"
"steam","Steam Cloud save sync conflict. Resolve to prevent data loss: hxxp://steam-cloud-sync-fix.org"
"steam","Welcome to the Counter-Strike 2 beta! Download client: hxxp://cs2-beta-download-install.com"
"steam","Your friend's birthday is today! Send a gift from their wishlist: hxxp://steam-friend-gift-reminder.ru"
"steam","Steam Broadcast starting soon: Valve developer Q&A. Join: hxxp://steam-broadcast-live-event.net"
"steam","Your account age qualifies you for a veteran's badge. Claim: hxxp://steam-veteran-badge-claim.com"
"steam","Region change detected. Confirm your new country: hxxp://steam-region-confirmation.com"
"steam","Your Steam account has been linked to a new Epic Games account. Verify: hxxp://steam-epic-link-verify.org"
"steam","Free DLC available for a game in your library. Add to account: hxxp://steam-free-dlc-claim.net"
"steam","Steam Input configuration error. Recalibrate controller: hxxp://steam-input-recalibrate.com"
"steam","Your review was flagged for helpfulness. Manage your content: hxxp://steam-review-helpful-fix.ru"
"omegle","Your chat is being translated in real-time. Configure language settings: hxxp://omegle-translate-settings.net"
"omegle","You have a high connection score! Chat with premium users: hxxp://omegle-premium-match.com"
"omegle","To protect minors"
"omegle","Your last stranger wants to connect on social media. Accept: hxxp://omegle-social-connect.ru"
"omegle","Server overload in your area. Move to a less busy server: hxxp://omegle-server-move.com"
"omegle","You have unused Omegle credits expiring soon. Use them: hxxp://omegle-credits-use-now.net"
"omegle","New anti-harassment features enabled. Review settings: hxxp://omegle-anti-harassment-settings.org"
"omegle","Your IP is being rate-limited. Verify you are not a bot: hxxp://omegle-rate-limit-fix.com"
"omegle","Video chat quality report: Optimize your settings: hxxp://omegle-video-quality-optimize.ru"
"instagram","Your account is near its follower limit. Verify to increase: hxxp://insta-follower-limit-increase.com"
"instagram","New feature: See your ""Least Interacted With"" followers. View list: hxxp://insta-least-interacted-followers.net"
"instagram","Your ad has been rejected due to policy violations. Edit: hxxp://insta-ad-rejection-edit.org"
"instagram","You're losing followers. Get a breakdown and stop it: hxxp://insta-follower-loss-report.com"
"instagram","Instagram Stories sound copyright check. Review: hxxp://insta-story-sound-check.ru"
"instagram","Your account was nearly hacked. Secure it with our new tool: hxxp://insta-hack-prevention-tool.net"
"instagram","Your login attempt from a rooted device was blocked. Appeal: hxxp://insta-rooted-device-appeal.com"
"instagram","Download your data from deleted account @[randomname]: hxxp://insta-data-deleted-account.org"
"instagram","Your account will be featured in @instagram's story! Submit content: hxxp://insta-feature-submission.com"
"instagram","New message filtering options available. Customize: hxxp://insta-message-filter-update.ru"
"location","Amber Alert activated for your area. View map and details: hxxp://amber-alert-location-map.net"
"location","Your Fitbit detected a fall at [Location]. False alarm? Confirm safety: hxxp://fitbit-fall-detection-alert.com"
"location","Your Tesla's sentry mode recorded an incident at your parking location. Review: hxxp://tesla-sentry-mode-location-review.org"
"location","Google Photos: New ""Memories"" based on your location history. Watch: hxxp://photos-location-memory.ru"
"location","Your location data is being used for a research study. Opt out: hxxp://location-research-opt-out.com"
"location","Dating app match is nearby! Share your location to meet up: hxxp://dating-app-share-location-meet.net"
"location","Your smart home detected no one at home for 2 weeks. Disable alarm? hxxp://smart-home-location-disable-alarm.org"
"location","Postmates driver is lost. Send your precise live location: hxxp://postmates-live-location-share.com"
"location","Your Windows device location tracking is outdated. Update: hxxp://windows-location-tracking-update.ru"
"location","Power outage reported in your building. Check estimated restore time: hxxp://power-outage-location-check.net"
"steam","SteamVR performance test results are in. View and optimize: hxxp://steamvr-performance-results.com"
"steam","Your Steam account has been added to a family group. Confirm: hxxp://steam-family-group-confirm.org"
"steam","Local network game transfer available. Enable for faster downloads: hxxp://steam-local-transfer-enable.ru"
"steam","Your friend is playing a game you own. Join them remotely: hxxp://steam-remote-join-game.com"
"steam","Steam Trading Card set complete! Craft your badge: hxxp://steam-craft-badge-now.net"
"steam","Your account has been granted access to the Steam China beta. Participate: hxxp://steam-china-beta-access.org"
"steam","Payment method expired. Update to avoid restricted account features: hxxp://steam-payment-update-features.com"
"steam","Your review received a developer response. Read and reply: hxxp://steam-developer-response-review.ru"
"steam","Steam Link app connection failed. Reconfigure your network: hxxp://steam-link-reconfigure-network.net"
"steam","Free weekend for ""Cyberpunk 2077"" has started! Install now: hxxp://steam-free-weekend-cyberpunk.com"
"omegle","Your chat is being recorded for quality assurance. Acknowledge: hxxp://omegle-quality-assurance-record.org"
"omegle","New interest matching available. Add interests to find better chats: hxxp://omegle-interests-matching-update.ru"
"omegle","You've been banned by a moderator. Appeal with a video statement: hxxp://omegle-mod-ban-video-appeal.com"
"omegle","Your connection is unstable. Download our connection booster: hxxp://omegle-connection-booster-download.net"
"omegle","To continue using text chat"
"omegle","A user has reported your connection speed. Test and improve: hxxp://omegle-speed-test-improve.com"
"omegle","Your webcam driver is outdated. Update for better performance: hxxp://omegle-webcam-driver-update.ru"
"omegle","Anonymous chat is now premium only. Verify identity for free access: hxxp://omegle-identity-verify-free.net"
"omegle","Your last chat partner was underage. You must verify your age: hxxp://omegle-underage-verify-required.com"
"omegle","Server migration in progress. Click to move your session: hxxp://omegle-server-migration-session.com"
